,Children,Age,Income,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Churn_Yes
66,3,70,10964.73,4.471254161,265.146969,1007.425553,0,1,0,0,1,0,0,0,1,0,0,1
67,1,78,22365.28,10.79028074,207.609354,1323.028419,0,0,1,0,0,0,0,1,0,1,0,1
68,0,48,52636.6,12.24190682,152.462354,1808.730555,0,0,1,0,0,0,1,0,0,1,0,0
69,1,63,19048.13,2.203859443,200.132293,1120.241472,0,1,0,0,0,0,1,0,1,0,0,1
70,4,60,42784.82,23.92132231,212.655686,2676.789803,0,0,1,0,1,0,0,0,1,0,0,1
71,0,87,77996.88,3.7311787,255.119794,1268.086909,1,0,0,1,0,0,0,0,0,1,0,1
72,3,54,47507.3,7.980015371,134.950905,822.6771666,0,1,0,0,1,0,0,0,1,0,0,0
73,3,35,7724.73,9.190009376,255.137219,1577.915603,0,0,1,1,0,0,0,0,0,1,0,1
74,1,70,1509.52,2.378630018,214.966286,648.7471776,0,0,1,0,0,1,0,0,0,1,0,1
75,2,67,81124.71,5.43464555,270.160419,1648.102673,1,0,0,0,1,0,0,0,1,0,0,1
76,4,46,11795.57,1.092361222,200.165175,768.0874545,1,0,0,0,0,0,0,1,1,0,0,1
77,1,50,74794.84,20.13981517,149.937833,2426.030626,0,0,1,0,0,1,0,0,0,1,0,0
78,1,24,19038.78,24.64873861,240.114868,2660.503932,1,0,0,0,0,1,0,0,1,0,0,1
79,0,20,79167.77,9.677739656,127.495766,1129.549713,1,0,0,1,0,0,0,0,0,1,0,0
80,1,29,37428.26,9.82814183,187.609354,1771.286466,0,0,1,0,1,0,0,0,1,0,0,1
81,0,31,45148.38,7.832238337,169.992756,943.3391244,1,0,0,1,0,0,0,0,0,1,0,0
82,5,72,74855.47,19.45250317,192.456745,1907.226083,0,0,1,0,0,0,1,0,1,0,0,0
83,4,71,45323.86,14.34766616,120.004928,1885.939118,0,0,1,1,0,0,0,0,0,1,0,0
84,2,32,71596.14,2.257358355,195.006206,631.7435653,0,1,0,1,0,0,0,0,1,0,0,0
85,0,33,10389.95,2.358129018,139.95684,562.6095219,1,0,0,0,0,1,0,0,0,1,0,0
86,3,67,19657.14,4.650578623,114.983787,593.8572264,0,1,0,0,0,0,0,1,0,1,0,0
87,0,66,27827.03,3.721772616,207.638588,777.3060718,0,1,0,1,0,0,0,0,1,0,0,1
88,4,21,15609.05,3.76663012,187.609354,1393.202392,1,0,0,0,0,0,1,0,1,0,0,1
89,0,61,19815.63,4.151256695,134.950905,393.6524652,0,0,1,0,0,1,0,0,1,0,0,0
90,0,75,58482.9,2.188918771,192.470522,409.7486664,1,0,0,0,0,0,1,0,1,0,0,1
91,0,63,41656.53,13.85488928,222.628057,2138.107161,0,0,1,0,0,0,0,1,1,0,0,1
92,0,68,115510.46,3.273341151,162.468917,443.984031,0,1,0,0,0,0,1,0,1,0,0,0
93,2,32,15841.19,19.75096265,159.979358,2481.385603,0,1,0,0,0,1,0,0,0,1,0,1
94,0,76,81127.41,18.38404445,184.979684,2233.567181,0,1,0,0,0,1,0,0,0,1,0,0
95,0,29,24270.88,4.672610857,245.145743,1158.91369,0,1,0,1,0,0,0,0,1,0,0,1
96,0,83,54466.33,6.796299371,124.97808,529.40733,1,0,0,0,1,0,0,0,1,0,0,0
97,10,23,64816.84,12.97632235,187.484705,1956.7337,0,1,0,1,0,0,0,0,0,1,0,1
98,5,80,103311.26,20.31163945,162.500692,2056.386979,1,0,0,0,0,1,0,0,0,1,0,0
99,0,20,40211.04,6.998814446,182.467607,1067.373076,0,1,0,0,0,1,0,0,0,1,0,0
100,0,69,58077.38,14.46288204,222.660939,1806.135733,0,0,1,0,0,0,1,0,0,1,0,1
101,1,32,43466.35,11.13472066,182.467607,1397.701335,0,0,1,0,0,1,0,0,0,1,0,0
102,0,53,23289.77,2.542296644,220.161527,808.4305471,0,0,1,1,0,0,0,0,1,0,0,1
103,2,25,49158.49,17.22596021,169.937833,1886.531937,1,0,0,0,0,0,1,0,0,1,0,0
104,0,69,3805.84,22.79214163,204.963371,2294.781131,0,1,0,1,0,0,0,0,0,1,0,1
105,3,71,52616.27,3.823689744,204.963371,826.3438621,0,0,1,0,0,0,0,1,0,1,0,1
106,3,53,30550.42,10.77094687,245.128318,2072.564168,0,0,1,0,0,0,0,1,1,0,0,1
107,2,56,12154.01,13.08671185,172.473314,1436.793746,0,0,1,1,0,0,0,0,0,0,1,1
108,0,42,30649.31,14.76468813,172.456745,1963.332683,0,1,0,0,1,0,0,0,0,1,0,1
109,3,33,31417.33,9.473091121,194.976769,1324.164906,0,1,0,0,1,0,0,0,0,1,0,1
110,1,47,55861.19,5.197446331,137.439154,704.9375603,0,0,1,1,0,0,0,0,0,1,0,0
111,1,48,9044.26,6.577552683,192.470522,888.6517305,0,0,1,0,0,0,0,1,1,0,0,1
112,0,63,25381.66,3.174571918,159.951231,377.0810282,1,0,0,0,0,1,0,0,1,0,0,1
113,1,40,65064.31,17.88002366,112.455141,1606.489936,0,0,1,0,0,0,0,1,0,1,0,0
114,0,67,12527.51,13.12190056,174.961766,1431.409396,0,0,1,1,0,0,0,0,0,1,0,1
115,0,56,35499.06,23.34617699,162.452604,2253.85247,0,0,1,1,0,0,0,0,1,0,0,0
116,6,24,26282.4,6.311709178,137.483594,1353.29384,0,0,1,0,1,0,0,0,1,0,0,0
117,2,79,51237.28,12.58298231,275.133571,1701.457566,0,0,1,1,0,0,0,0,1,0,0,0
118,3,61,64222.21,7.120096363,127.442069,1290.737183,1,0,0,0,1,0,0,0,0,1,0,1
119,0,38,11014.98,9.344886869,210.138,1403.270091,0,0,1,1,0,0,0,0,0,1,0,1
120,4,28,21172.49,22.37815032,147.456419,2603.903672,1,0,0,1,0,0,0,0,1,0,0,0
121,3,44,26130.78,4.799514433,242.657291,1256.287854,0,0,1,1,0,0,0,0,0,1,0,1
122,1,65,36478.21,10.04672315,114.983787,980.9935923,0,1,0,0,0,0,0,1,0,1,0,0
123,3,35,54533.63,8.156552837,187.656013,1347.869205,0,0,1,1,0,0,0,0,1,0,0,0
124,2,31,37103.18,7.992791229,149.991327,1127.267848,0,1,0,0,0,0,1,0,1,0,0,0
125,2,34,74679.84,7.231032028,124.960655,1269.836202,0,1,0,0,0,0,0,1,0,1,0,0
126,2,68,95028.57,4.627672042,220.161527,1038.745378,0,0,1,0,0,0,1,0,0,1,0,1
127,0,62,34281.1,10.05306287,172.48852,1531.155367,0,0,1,0,0,1,0,0,0,1,0,0
128,0,52,36240.81,4.171044392,120.004928,991.2441024,0,0,1,0,0,0,1,0,0,1,0,0
129,5,32,9515.64,4.568682641,220.161527,1244.296865,0,0,1,1,0,0,0,0,0,1,0,1
130,0,47,125814.88,6.085030507,139.965008,1162.332926,1,0,0,1,0,0,0,0,1,0,0,1
131,8,66,12995.68,2.730250735,159.951231,577.1157824,1,0,0,1,0,0,0,0,1,0,0,0
132,1,70,77531.43,8.574901206,184.949594,1442.974877,1,0,0,1,0,0,0,0,1,0,0,1
133,3,41,87354.99,9.743201772,252.637807,1577.208717,0,1,0,1,0,0,0,0,0,1,0,1
134,2,59,76567.85,9.482919033,112.455141,886.9398744,0,1,0,0,0,0,1,0,0,1,0,0
135,1,46,30663.52,8.447988841,179.979358,1065.06443,1,0,0,0,1,0,0,0,0,1,0,0
136,3,70,122957.19,6.365998533,202.443347,951.886985,0,1,0,0,1,0,0,0,0,1,0,0
137,1,89,31600.92,7.251397592,197.472533,1404.435534,0,0,1,0,0,0,0,1,0,1,0,0
138,4,75,74638.78,14.64011644,255.155493,1925.911722,0,1,0,0,0,1,0,0,1,0,0,1
139,0,26,32652.3,11.71637124,174.976769,1805.011298,0,0,1,0,1,0,0,0,1,0,0,1
140,4,25,63650.54,4.13273503,169.992756,700.7343179,0,0,1,1,0,0,0,0,1,0,0,0
141,1,84,28622.6,2.887429547,192.440432,513.237305,1,0,0,0,0,0,0,1,1,0,0,1
142,3,69,50252.79,3.303030246,182.460772,717.3876564,0,1,0,0,0,1,0,0,0,1,0,0
143,3,31,19800.81,5.15825129,139.965008,1313.492851,0,0,1,1,0,0,0,0,0,1,0,0
144,10,76,35954.77,3.237560234,137.461553,819.4195269,0,1,0,0,1,0,0,0,0,1,0,1
145,8,75,36342.31,2.733109234,217.472533,882.1160656,1,0,0,1,0,0,0,0,0,1,0,1
146,1,74,48715.53,3.180102025,210.138,724.7803356,1,0,0,1,0,0,0,0,0,0,1,1
147,1,49,23204.98,15.85983755,104.964303,1829.270014,0,1,0,1,0,0,0,0,0,1,0,0
148,1,47,35302.52,11.73724209,262.610632,1668.199119,1,0,0,0,0,0,1,0,0,1,0,1
149,4,20,54895.16,7.006240694,152.488401,1124.353152,0,0,1,0,1,0,0,0,1,0,0,1
150,2,26,60398.06,5.562130367,174.974431,1316.239744,0,1,0,0,0,1,0,0,1,0,0,1
151,2,72,8115.88,14.53027663,220.118516,1637.201426,0,0,1,0,0,1,0,0,1,0,0,0
152,1,41,33858.66,5.905906389,162.452604,951.8524406,0,0,1,1,0,0,0,0,0,1,0,0
153,3,26,29950.47,3.260462654,184.961033,1248.097652,0,1,0,0,1,0,0,0,1,0,0,1
154,4,55,49421.69,18.91276578,217.483972,2220.255405,0,0,1,0,0,0,1,0,0,1,0,0
155,1,46,11061.05,14.25617986,220.118516,1669.202417,0,0,1,0,1,0,0,0,1,0,0,0
156,0,87,15388.32,7.983887266,187.642236,990.0555076,0,1,0,0,0,0,1,0,1,0,0,1
157,1,39,20624.31,5.969967132,174.961766,967.9819136,1,0,0,1,0,0,0,0,0,1,0,0
158,0,81,47877.81,19.95277818,252.637807,2190.259876,1,0,0,0,1,0,0,0,0,1,0,1
159,0,83,46154.17,14.85781115,130.024412,1445.752781,0,1,0,0,0,1,0,0,0,1,0,0
160,0,50,107111.8,2.600063739,162.482694,528.6553088,0,0,1,0,0,0,0,1,1,0,0,1
161,3,87,10403.59,11.92299244,182.467607,1296.481055,0,0,1,0,1,0,0,0,1,0,0,1
162,3,76,22412.6,5.972864167,139.934918,1195.393037,1,0,0,0,1,0,0,0,1,0,0,0
163,6,25,19476.27,10.87555535,200.165175,1700.121992,0,1,0,0,0,0,0,1,1,0,0,1
164,3,34,96382.76,16.00330155,202.682861,2120.673828,1,0,0,0,1,0,0,0,0,1,0,1
165,1,46,28022.56,12.63074989,159.951231,1238.421347,0,1,0,1,0,0,0,0,1,0,0,0
166,1,73,35478.4,8.4944392,149.948316,847.110799,0,1,0,0,1,0,0,0,1,0,0,0
167,8,57,10155.51,8.044444101,149.959755,1112.937102,0,1,0,1,0,0,0,0,1,0,0,1
168,3,58,87537.25,12.07358377,137.469817,1623.045026,1,0,0,1,0,0,0,0,0,1,0,0
169,4,70,34112.1,10.21634248,187.656013,1479.730181,0,0,1,0,0,1,0,0,0,1,0,1
170,0,53,32653.51,15.50354683,164.985293,2144.735024,0,1,0,0,1,0,0,0,0,1,0,1
171,0,31,35321.46,13.88004531,159.965008,1522.289512,0,1,0,0,1,0,0,0,0,1,0,1
172,0,38,49277.48,19.48900163,172.462354,1974.780054,0,1,0,0,0,0,0,1,1,0,0,0
173,0,26,37297.82,10.01771765,204.949594,1261.177198,1,0,0,0,0,0,0,1,1,0,0,1
174,2,44,14928.96,7.34059599,147.473844,939.7181324,1,0,0,0,0,0,0,1,0,1,0,0
175,3,66,24702.68,12.64742067,162.471255,1357.062854,0,1,0,1,0,0,0,0,1,0,0,1
176,1,58,87535.71,8.850426839,119.95684,1456.887443,0,1,0,1,0,0,0,0,0,1,0,0
177,6,51,63166.87,3.701557118,207.609354,937.5863866,1,0,0,1,0,0,0,0,1,0,0,1
178,4,34,11856.81,2.976033785,194.999168,830.1193011,0,0,1,0,0,0,1,0,1,0,0,0
179,0,87,27326.79,5.522376826,174.975543,737.8564608,1,0,0,0,0,0,0,1,0,0,1,0
180,1,67,12779.23,15.64596698,240.114868,1781.854862,1,0,0,1,0,0,0,0,1,0,0,1
181,4,59,25519.91,23.00764441,240.114868,2464.577489,0,0,1,0,0,1,0,0,0,0,1,1
182,7,23,46871.21,17.24924155,139.983006,2392.203409,0,0,1,1,0,0,0,0,0,1,0,0
183,0,42,77383.72,13.01107597,240.114868,1664.19271,0,1,0,0,0,0,0,1,0,1,0,1
184,1,24,47395.3,5.104082209,209.993134,1433.616898,0,1,0,1,0,0,0,0,1,0,0,1
185,2,81,90977.74,3.521499924,147.456419,823.4933243,0,0,1,0,0,0,0,1,1,0,0,0
186,8,78,135727.71,8.08137067,107.495766,1468.357421,0,1,0,0,0,0,1,0,0,1,0,0
187,1,51,47726.25,1.875430489,152.502178,590.7765801,1,0,0,0,0,0,1,0,1,0,0,1
188,1,70,51721.64,5.587484456,79.978861,418.6206885,0,1,0,0,0,1,0,0,1,0,0,0
189,0,87,41531.03,7.007695148,142.482694,1181.991846,0,0,1,0,1,0,0,0,1,0,0,0
190,0,46,33504.8,1.408375942,117.439154,733.4036934,0,0,1,1,0,0,0,0,1,0,0,0
191,8,56,34197.3,11.64983735,220.132293,1719.173387,0,0,1,0,0,0,0,1,1,0,0,1
192,4,44,11518.58,2.964559883,152.455519,1205.956363,0,1,0,0,1,0,0,0,0,1,0,1
193,0,33,31065.17,10.25635754,174.961766,1261.032763,0,0,1,0,0,1,0,0,1,0,0,0
194,0,19,32097.17,3.892407013,202.443347,741.7766988,0,1,0,0,0,0,0,1,1,0,0,1
195,1,31,23424.88,3.226996711,210.12704,932.6084359,0,1,0,0,0,1,0,0,0,1,0,1
196,1,34,35988.24,15.87685513,139.979239,1708.614019,0,0,1,0,0,0,1,0,1,0,0,0
197,4,43,35539.7,5.874064017,139.965008,1363.58603,0,0,1,0,0,1,0,0,0,1,0,0
198,1,82,27959.34,3.756359276,137.439154,472.1057019,0,1,0,0,0,0,1,0,0,1,0,0
199,6,36,52232.97,2.905283283,102.474625,558.2340556,1,0,0,0,0,0,0,1,1,0,0,0
200,1,48,18198.59,1.474810061,252.637807,815.194738,0,1,0,0,0,1,0,0,0,1,0,1
201,0,52,16851.94,18.56165869,194.999168,2007.303617,1,0,0,0,0,0,0,1,0,1,0,1
202,1,35,16440.05,12.39088509,242.610632,2088.48083,0,1,0,0,0,1,0,0,0,0,1,1
203,3,83,44223.58,14.17192333,127.458638,1430.761492,0,1,0,0,0,0,0,1,1,0,0,0
204,0,20,33343.73,3.86023041,129.976324,822.3008694,0,1,0,0,0,0,0,1,0,1,0,0
205,0,25,30664.56,17.72593456,240.114868,2059.200998,0,1,0,0,0,0,1,0,1,0,0,1
206,0,88,31934.04,3.043063167,174.975543,617.542543,0,1,0,1,0,0,0,0,0,1,0,0
207,1,54,26676.4,5.827112819,169.944668,758.4775985,0,1,0,0,0,0,0,1,1,0,0,0
208,1,46,67211.95,4.648958177,162.511928,894.6733856,0,1,0,0,0,1,0,0,0,1,0,1
209,2,75,31136.77,11.96274778,119.95684,1639.898269,0,1,0,0,0,0,0,1,1,0,0,0
210,5,66,40660.84,4.525864256,137.439154,710.7541633,0,0,1,0,0,0,0,1,0,1,0,0
211,0,51,10606.59,8.038308899,207.46728,1092.226042,0,1,0,1,0,0,0,0,1,0,0,0
212,3,81,92447.71,1.416592892,149.974105,757.0097075,1,0,0,1,0,0,0,0,1,0,0,0
213,0,75,13612.16,19.83504645,225.178625,2301.850721,0,1,0,0,0,1,0,0,0,1,0,0
214,3,54,13765.39,15.85002222,232.637807,2401.406545,0,0,1,0,0,0,0,1,1,0,0,1
215,2,73,53019.98,15.94935291,117.472036,1535.788894,1,0,0,0,0,1,0,0,0,1,0,0
216,0,53,42523.02,11.94550648,137.469817,1536.589816,0,0,1,0,0,0,1,0,0,1,0,0
217,8,33,52143.7,16.03360405,220.132293,2153.778421,0,1,0,0,0,1,0,0,1,0,0,0
218,5,41,19097.94,21.29342532,124.960655,2409.195918,0,0,1,0,0,0,0,1,1,0,0,0
219,1,59,11301.4,4.95598008,199.990219,1342.862457,0,0,1,1,0,0,0,0,1,0,0,0
220,3,23,17814.0,2.73951266,159.947583,1046.054674,0,1,0,0,0,0,1,0,1,0,0,1
221,1,32,22533.05,4.973046104,245.145743,1204.479468,1,0,0,0,0,0,0,1,1,0,0,1
222,3,51,19974.4,10.28430068,255.155493,1616.908193,1,0,0,0,0,1,0,0,1,0,0,1
223,1,46,45146.99,2.581692044,134.950905,345.0099528,1,0,0,0,0,1,0,0,1,0,0,0
224,3,37,10330.1,6.945736396,159.947583,1427.088655,1,0,0,0,1,0,0,0,0,1,0,1
225,0,53,15281.28,9.999416271,139.987503,1452.334634,0,1,0,0,0,1,0,0,0,1,0,0
226,1,62,11217.96,6.035737465,179.947583,795.4957358,0,0,1,1,0,0,0,0,0,1,0,1
227,1,57,17516.0,9.004964377,127.473844,1333.894229,0,1,0,0,0,0,1,0,1,0,0,0
228,2,80,20566.64,5.071456681,232.637807,1402.20491,0,1,0,0,1,0,0,0,1,0,0,1
229,1,43,36128.68,12.02106494,195.006206,1447.196935,0,0,1,0,1,0,0,0,0,1,0,1
230,1,35,52129.84,5.049303717,267.642733,1662.510936,0,1,0,1,0,0,0,0,0,1,0,1
231,1,63,25985.06,18.17247008,149.959755,1707.641161,0,1,0,0,0,1,0,0,1,0,0,0
232,1,63,10909.79,15.31997698,220.114868,2181.752793,0,0,1,0,0,0,0,1,1,0,0,1
233,1,27,41151.14,16.0708543,157.483594,1575.683555,1,0,0,1,0,0,0,0,1,0,0,0
234,4,19,64063.23,7.873371451,127.474951,1029.489242,1,0,0,0,1,0,0,0,1,0,0,0
235,1,40,20414.07,23.62866494,139.981577,2370.184448,0,0,1,0,0,1,0,0,1,0,0,0
236,0,42,41412.1,25.8634566,255.133571,3309.919373,0,1,0,0,0,0,0,1,0,1,0,1
237,0,40,99195.08,9.405224809,194.966286,1623.273925,1,0,0,0,1,0,0,0,1,0,0,1
238,0,72,18408.94,12.84490034,179.965581,1146.199921,0,1,0,0,1,0,0,0,1,0,0,0
239,3,61,15930.45,16.59325254,174.976769,2229.268031,0,0,1,0,0,0,1,0,0,1,0,1
240,0,71,25611.29,20.35456039,187.609354,2512.36494,1,0,0,1,0,0,0,0,0,1,0,0
241,4,68,9428.86,12.00925702,169.937833,1297.388488,0,1,0,1,0,0,0,0,1,0,0,0
242,1,88,3810.16,2.861423443,115.002061,283.39178,1,0,0,0,0,1,0,0,1,0,0,0
243,1,64,118022.06,14.20349453,152.462354,1947.7853,1,0,0,0,0,0,0,1,0,1,0,1
244,1,63,51992.79,4.98152586,207.609354,849.1972541,0,0,1,0,1,0,0,0,1,0,0,1
245,0,53,79993.43,23.12150846,147.503078,2131.359827,1,0,0,1,0,0,0,0,1,0,0,0
246,0,41,37706.85,6.307178205,200.118516,1464.035068,1,0,0,0,0,0,0,1,0,1,0,0
247,2,63,22466.53,12.73622643,137.497825,1381.538548,0,1,0,0,1,0,0,0,0,1,0,0
248,4,56,16608.27,12.00466914,134.980139,1248.626874,0,1,0,0,1,0,0,0,1,0,0,0
249,2,27,25146.14,2.243757398,147.442069,558.3751762,1,0,0,1,0,0,0,0,0,1,0,0
250,2,47,58882.35,1.583394702,197.494455,676.2178659,0,1,0,1,0,0,0,0,0,1,0,0
251,4,42,31809.46,14.23487852,162.529926,1641.938696,0,1,0,0,0,1,0,0,1,0,0,0
252,0,72,27235.54,15.28108311,210.151777,1811.964373,1,0,0,0,0,0,0,1,1,0,0,1
253,3,58,70476.82,4.135827839,159.965581,1066.632555,0,0,1,0,1,0,0,0,0,1,0,1
254,0,33,49396.09,9.740709475,190.173699,1514.131966,0,0,1,0,0,0,0,1,0,1,0,1
255,6,87,35060.94,1.213704886,202.649979,1189.549671,0,1,0,0,0,1,0,0,1,0,0,1
256,0,34,66055.53,11.86252419,134.950905,1114.020282,1,0,0,1,0,0,0,0,1,0,0,0
257,7,76,91335.76,2.416685985,142.500692,1078.291303,0,0,1,0,0,0,0,1,0,1,0,0
258,3,38,54349.75,6.73327535,114.997564,854.2977548,1,0,0,0,0,0,0,1,0,0,1,0
259,0,47,75042.1,6.549035393,232.62403,1489.077486,1,0,0,0,0,0,1,0,1,0,0,1
260,7,84,91001.1,10.57197066,242.628057,1649.312808,1,0,0,0,0,0,0,1,0,1,0,1
261,4,19,44426.28,3.379756569,202.443347,905.1959227,0,0,1,0,0,0,0,1,0,1,0,1
262,0,87,63284.16,8.959047529,124.993537,684.6318529,1,0,0,1,0,0,0,0,1,0,0,0
263,3,75,14039.21,10.23679934,174.976769,1662.533055,0,1,0,0,0,0,0,1,0,1,0,0
